Destination;Country;Name;Avg_rating;No_votes;Attraction type
Albania;Albania;The Blue Eye;4.2;2030;Bodies of Water
Albania;Albania;Bunk'Art 1;4.6;1250;Military Museums ï History Museums
Albania;Albania;Dajti Ekspres Cable Car;4.4;1283;Trams
Albania;Albania;Butrint National Park;4.6;2638;National Parks
Albania;Albania;Bunk'Art 2;4.3;903;History Museums
Albania;Albania;Skanderbeg Square;4;1542;Points of Interest ï Landmarks
Albania;Albania;Berat Castle;4.5;1159;Architectural Buildings
Albania;Albania;Gjipe Beach;4.3;392;Beaches
Albania;Albania;Grand Park (Parku i Madh);4.4;389;Parks
Albania;Albania;Kruja Castle;4.3;627;Castles
Albania;Albania;Rozafa Castle;4.4;888;Castles
Albania;Albania;Gjirokaster Castle;4.3;972;Military Museums ï Historic Sites
Albania;Albania;Dhermi Beach;4.1;320;Beaches
Albania;Albania;Ohana Beach Bar;4.5;93;Beaches ï Beach & Pool Clubs
Albania;Albania;Xhamia Et'hem Bej;4.2;700;Religious Sites
Albania;Albania;Abaia Winery & Vineyard;4.9;176;Wineries ï Vineyards
Albania;Albania;Lekuresi Castle;3.8;824;Castles
Albania;Albania;Pulebardha Beach;3.8;265;Beaches
Albania;Albania;Mirror (Plazhi Pasqyra) Beach;3.9;357;Beaches
Albania;Albania;Shkodra Lake;4.2;294;Bodies of Water
Albania;Albania;Komani Lake By Wild Tour Albania;4.3;247;Bodies of Water
Albania;Albania;Orthodox Autocephalous Church of Albania;4.1;463;Religious Sites
Albania;Albania;Lake Bovilla;4.7;45;Bodies of Water
Albania;Albania;Toptani Shopping Center;4;143;Shopping Malls
Albania;Albania;St. Mary's Monastery;4.1;256;Religious Sites
Albania;Albania;Theth National Park;4.8;105;National Parks ï Nature & Wildlife Areas
Albania;Albania;Muzeu Historik Kombetar;4;1062;History Museums
Albania;Albania;Pazari i VjetÎr;4;230;Flea ï Street Markets
Albania;Albania;Benja Thermal Baths;4.2;109;Bodies of Water ï Hot Springs ï Geysers
Albania;Albania;Skanderbeg Statue;4;576;Monuments ï Statues
Andorra;Andorra;Caldea;3.7;4773;Thermal Spas
Andorra;Andorra;Vallnord Pal Arinsal;4.4;1801;Ski ï Snowboard Areas
Andorra;Andorra;Mirador Roc Del Quer;4.5;521;Lookouts ï Observation Decks ï Towers
Andorra;Andorra;Tobotronc;4.1;668;Amusement ï Theme Parks
Andorra;Andorra;Casa de la Vall;4.4;564;Historic Sites ï Architectural Buildings
