Destination;Country;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Distance_from_Lodz_km_road;Overall_Daily_Cost_Budget_USD;Overall_Daily_Cost_MidRange_USD;Overall_Daily_Cost_Luxury_USD;Language;Number_of_ratings;Cost of Living Index;Rent Index;Cost of Living Plus Rent Index;Groceries Index;Restaurant Price Index;Local Purchasing Power Index;Latitude;Longitude
Albania;Albania;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;1600;43;103;248;Albanian;20338;46.4;28.8;38.8;44;42.6;69.5;41.3275;19.8187
Andalusia;Spain;cool;cool;comfortable;warm;warm;hot;sweltering;sweltering;hot;warm;cool;cool;2900;64;174;523;Spanish;253566;47;21.4;35.9;47.3;42.9;67.8;37.7667;-4.4333
Andorra;Andorra;cold;cool;cool;cool;comfortable;warm;warm;warm;comfortable;cool;cool;cold;2150;83;193;397;Catalan;15541;57;37;48.3;55.6;57.4;88.4;42.5063;1.5218
Antwerp;Belgium;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1200;68;152;295;Dutch;39122;68.2;39.7;55.8;68.6;68.5;83.8;51.2194;4.4025
Ardennes;Belgium;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1150;69;170;403;French;22381;70.1;31.8;52.5;64.7;59.3;124.1;50.25;5.5
Athens;Greece;cold;cool;comfortable;comfortable;warm;warm;hot;hot;warm;cool;cool;cold;2100;72;177;423;Greek;172211;53.7;16.8;37.6;51.4;56;62.6;37.9838;23.7275
Azores;Portugal;cool;cool;cool;comfortable;comfortable;warm;warm;warm;warm;comfortable;cool;cool;NaN;82;185;354;Portuguese;24083;51.5;39.5;46.3;47.9;50.7;59.3;37.7412;-25.6756
Baden-Württemberg;Germany;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;1100;94;219;483;German;73055;67;31;51.3;62.8;64.3;139.8;48.7758;9.1829
Balearic Islands;Spain;cool;cool;cool;comfortable;warm;warm;hot;hot;warm;comfortable;cool;cool;NaN;180;396;771;Spanish;113408;55.1;29.1;43.8;61.8;63.4;101.9;39.6953;3.0176
Barcelona;Spain;cool;cool;cool;comfortable;comfortable;warm;warm;warm;warm;comfortable;cool;cool;1900;82;213;574;Spanish;685314;57;37;48.3;55.6;57.4;88.4;41.3851;2.1734
Basque Country;Spain;cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;comfortable;cool;cold;2000;82;193;404;Spanish;82187;55.8;36.5;47.4;52.2;56.7;128.8;43.263;-2.935
Bavaria;Germany;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;very cold;900;85;199;449;German;173053;72.3;44.3;60.1;61;72.6;127.5;48.7915;11.4955
Berlin;Germany;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;500;76;201;557;German;304093;66;34.8;52.4;62.2;72.1;130.8;52.52;13.405
Bernese Alps;Switzerland;freezing;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1200;135;309;604;German;20075;103.4;43.2;77.2;106;91.1;186.8;46.5499;7.9405
Bosnia and Herzegovina;Bosnia and Herzegovina;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;cold;1250;40;100;246;Bosnian;27219;39.2;15.3;25.9;31.9;30;54.3;43.9159;17.6791
Bratislava;Slovakia;very cold;cold;cool;comfortable;comfortable;warm;warm;warm;comfortable;cool;cool;very cold;550;78;176;377;Slovak;41747;51.1;21.2;38.1;49.8;45.1;84.8;48.1486;17.1077
Brittany;France;cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1700;55;136;347;French;57991;74.6;44.4;61.4;76.1;66.8;116.8;48.202;-2.9326
Bruges;Belgium;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1300;67;161;360;Dutch;83952;70.1;31.8;52.5;64.7;59.3;124.1;51.2093;3.2247
Brussels;Belgium;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1200;66;165;410;French;129758;70.1;31.8;52.5;64.7;59.3;124.1;50.8503;4.3517
