Destination;Country;Name;Avg_rating;No_votes;Historic_Heritage;Religion;Nature_Recreation;Culture_Art;Museums;Entertainment_Leisure;Shopping_Urban;Food_Drink;Winter_Sports;Scenic_Transport;Science_Technology;Beach;Mountains_and_trails;Landmark;Top_200_Popular
Albania;Albania;The Blue Eye;4.2;2030;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Albania;Albania;Bunk'Art 1;4.6;1250;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Albania;Albania;Dajti Ekspres Cable Car;4.4;1283;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Albania;Albania;Butrint National Park;4.6;2638;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Albania;Albania;Bunk'Art 2;4.3;903;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Albania;Albania;Skanderbeg Square;4.0;1542;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Albania;Albania;Berat Castle;4.5;1159;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Albania;Albania;Gjipe Beach;4.3;392;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Albania;Albania;Grand Park (Parku i Madh);4.4;389;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Albania;Albania;Kruja Castle;4.3;627;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Albania;Albania;Rozafa Castle;4.4;888;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Albania;Albania;Gjirokaster Castle;4.3;972;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Albania;Albania;Dhermi Beach;4.1;320;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Albania;Albania;Ohana Beach Bar;4.5;93;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
Albania;Albania;Xhamia Et'hem Bej;4.2;700;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Albania;Albania;Abaia Winery & Vineyard;4.9;176;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Albania;Albania;Lekuresi Castle;3.8;824;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Albania;Albania;Pulebardha Beach;3.8;265;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Albania;Albania;Mirror (Plazhi Pasqyra) Beach;3.9;357;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
