Destination;Country;HDI_Value_Latest;Life_Expectancy;GNI_per_capita_PPP;Inflation_Rate_National_Latest_Pct;Crime_Index;Safety_Index;Unemployment_Rate_National_Latest_Pct;English_EPI_Score;Cuisine_Rank;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Distance_from_Lodz_km_road;Overall_Daily_Cost_Budget_USD;Overall_Daily_Cost_MidRange_USD;Overall_Daily_Cost_Luxury_USD;Language;Number_of_ratings;CostofLivingIndex;RentIndex;CostofLivingPlusRentIndex;GroceriesIndex;RestaurantPriceIndex;LocalPurchasingPowerIndex;Latitude;Longitude;Popularity_TripAdvisor_Count
Albania;Albania;0.785;76.5;15313.0;2.4;44.2;55.8;10.25;533;56;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;1600.0;43;103;248;Albanian;20338;46.4;28.8;38.8;44.0;42.6;69.5;41.3275;19.8187;20338
Andorra;Andorra;0.884;80.4;;3.1;15.2;84.8;1.5;531;100;cold;cool;cool;cool;comfortable;warm;warm;warm;comfortable;cool;cool;cold;2150.0;83;193;397;Catalan;15541;57.0;37.0;48.3;55.6;57.4;88.4;42.5063;1.5218;15541
Vienna;Austria;0.926;81.6;56664.0;3.3;28.3;71.7;5.439;600;30;very cold;very cold;cold;cool;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;700.0;67;176;472;German;235373;68.1;29.8;51.4;68.4;65.6;130.7;48.2082;16.3738;235373
Salzburg Region;Austria;0.926;81.6;56664.0;3.3;28.3;71.7;5.439;600;30;very cold;very cold;cold;cool;comfortable;comfortable;warm;warm;comfortable;cool;cold;very cold;950.0;77;185;417;German;63816;68.1;29.8;51.4;68.4;65.6;130.7;47.8095;13.055;63816
Tyrol;Austria;0.926;81.6;56664.0;3.3;28.3;71.7;5.439;600;30;very cold;cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1100.0;69;175;442;German;35420;72.3;44.3;60.1;61.0;72.6;127.5;47.2692;11.4041;35420
Brussels;Belgium;0.937;82.4;54952.0;2.15;49.5;50.5;5.9;592;36;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1200.0;66;165;410;French;129758;70.1;31.8;52.5;64.7;59.3;124.1;50.8503;4.3517;129758
Bruges;Belgium;0.937;82.4;54952.0;2.15;49.5;50.5;5.9;592;36;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1300.0;67;161;360;Dutch;83952;70.1;31.8;52.5;64.7;59.3;124.1;51.2093;3.2247;83952
Ghent;Belgium;0.937;82.4;54952.0;2.15;49.5;50.5;5.9;592;36;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1250.0;62;144;287;Dutch;27693;70.1;31.8;52.5;64.7;59.3;124.1;51.0543;3.7174;27693
Antwerp;Belgium;0.937;82.4;54952.0;2.15;49.5;50.5;5.9;592;36;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1200.0;68;152;295;Dutch;39122;68.2;39.7;55.8;68.6;68.5;83.8;51.2194;4.4025;39122
Ardennes;Belgium;0.937;82.4;54952.0;2.15;49.5;50.5;5.9;592;36;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1150.0;69;170;403;French;22381;70.1;31.8;52.5;64.7;59.3;124.1;50.25;5.5;22381
