Destination;Country;Cost_of_Living_Index;Rent_Index;Cost_of_Living_Plus_Rent_Index;Groceries_Index;Restaurant_Price_Index;Local_Purchasing_Power_Index;HDI_Value_Latest;Life_Expectancy;GNI_per_capita_PPP;Inflation_Rate_National_Latest_Pct;Crime_Index;Safety_Index;Unemployment_Rate_National_Latest_Pct;English_level;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Distance_from_Lodz_km_road;Overall_Daily_Cost_Budget_USD;Overall_Daily_Cost_MidRange_USD;Overall_Daily_Cost_Luxury_USD;Language;Number_of_ratings;Popularity_TripAdvisor_Count
Albania;Albania;43.7;15.3;31.3;44.1;40.7;45.1;0.81;79.602;17627.39404;2.4;44.2;55.8;10.25;Moderate;cold;cold;cool;cool;warm;warm;hot;hot;warm;cool;cool;cold;1600.0;43;103;248;Albanian;20338;20338
Andorra;Andorra;;;;;;;0.93;81.956;63479.20843;3.6;15.2;84.8;1.5;Unknown;cold;cool;cool;cool;comfortable;warm;warm;warm;comfortable;cool;cool;cold;2150.0;83;193;397;Catalan;15541;15541
Vienna;Austria;67.6;25.0;49.1;68.6;63.6;118.9;0.951;82.115;63582.47535;2.6;28.3;71.7;5.439;Very High;very cold;very cold;cold;cool;comfortable;warm;warm;warm;comfortable;cool;cold;very cold;700.0;67;176;472;German;235373;235373
Salzburg Region;Austria;67.6;25.0;49.1;68.6;63.6;118.9;0.951;82.115;63582.47535;2.6;28.3;71.7;5.439;Very High;very cold;very cold;cold;cool;comfortable;comfortable;warm;warm;comfortable;cool;cold;very cold;950.0;77;185;417;German;63816;63816
Tyrol;Austria;67.6;25.0;49.1;68.6;63.6;118.9;0.951;82.115;63582.47535;2.6;28.3;71.7;5.439;Very High;very cold;cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cold;very cold;1100.0;69;175;442;German;35420;35420
Brussels;Belgium;63.6;22.8;45.9;61.9;71.4;127.7;0.804;77.85;19827.48588;1.5;49.5;50.5;5.9;High;very cold;cold;cool;comfortable;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1200.0;66;165;410;French;129758;129758
Bruges;Belgium;63.6;22.8;45.9;61.9;71.4;127.7;0.804;77.85;19827.48588;1.5;49.5;50.5;5.9;High;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1300.0;67;161;360;Dutch;83952;83952
Ghent;Belgium;63.6;22.8;45.9;61.9;71.4;127.7;0.804;77.85;19827.48588;1.5;49.5;50.5;5.9;High;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1250.0;62;144;287;Dutch;27693;27693
Antwerp;Belgium;63.6;22.8;45.9;61.9;71.4;127.7;0.804;77.85;19827.48588;1.5;49.5;50.5;5.9;High;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1200.0;68;152;295;Dutch;39122;39122
Ardennes;Belgium;63.6;22.8;45.9;61.9;71.4;127.7;0.804;77.85;19827.48588;1.5;49.5;50.5;5.9;High;very cold;cold;cool;cool;comfortable;comfortable;comfortable;comfortable;comfortable;cool;cool;cold;1150.0;69;170;403;French;22381;22381
